!SIL SIL
<SPOKEN_NOISE> SPN
<UNK> SPN
A	ɑː 
FOREBYGGENDE	f uː r eː b y ɡː ɛ n n a 
FOREBYGGER	f uː r eː b y ɡː ə r 
FOREDRAG	f uː r ə d r a ɡ 
FOREDRAGSVIRKSOMHET	f uː r ə d r ɑ ɡ s v ɪ r k s ɔ m h ə t 
FOREDRAR	f uː r ə d r a r 
FOREGÅENDE	f uː r eː ɡ oː a n n a 
FOREGÅR	f uː r eː ɡ oː r 
FOREGÅTT	f uː r eː ɡ ɔ tː 
FOREKOMMET	f uː r eː k ɔ m m ə t 
FORELDET	f uː r ɛ l l ə t 
FORELDRE	f uː r ɛ l l r a 
FORELDREANSVAR	f uː r ə l l r eː ɑ n s v a r 
FORELDREFORENINGEN	f uː r ə l l r eː f uː r eː n ɪ ŋ ə n 
FORELDRELØSE	f uː r ə l l r eː l øː s a 
FORELDRENE	f uː r ə l l r ɛ n a 
FORELDRENES	f uː r ə l l r eː n ə s 
FORELEGG	f uː r eː l ɛ ɡː 
FORELESERNES	f uː r eː l eː s a r n ə s 
FORELIGGER	f uː r eː l ɪ ɡː ə r 
FORELIGGERPUNKTUM	f uː r eː l ɪ ɡː a r p ʉ ŋ k t ʉː m 
FORELSKEDE	f uː r ə l s k eː d a 
FORELSKELSER	f uː r ə l s k ɛ l s ə r 
FORELSKET	f uː r ɛ l s k ə t 
FORELÅ	f uː r eː l oː 
FORELØBIG	f uː r eː l øː b ɪ 
FORELØPIG	f uː r eː l øː p ɪ 
FORELØPIGE	f uː r eː l øː p iː ɡ a 
FORENINGEN	f uː r eː n ɪ ŋ ə n 
FORENKLET	f uː r ɛ ŋ k l ə t 
FORENKLING	f uː r ə ŋ k l ɪ ŋ 
FORESKRIVER	f uː r ə s k r iː v ə r 
FORESLÅ	f uː r ə s l oː 
FORESLÅS	f uː r ə s l oː s 
FORESTILLE	f uː r ə s t ɪ l l a 
FORESTILLING	f uː r ə s t ɪ l l ɪ ŋ 
FORESTILLINGEN	f uː r ə s t ɪ l l ɪ ŋ ə n 
FORESTILLINGENE	f uː r ə s t ɪ l l ɪ ŋ ɛ n a 
FORESTILLINGER	f uː r ə s t ɪ l l ɪ ŋ ə r 
FORETA	f uː r eː t ɑ 
FORETAR	f uː r eː t a r 
FORETAS	f uː r eː t a s 
FORETATT	f uː r eː t ɑ tː 
FORETREKKE	f uː r ə t r ɛ kː a 
FORETREKKER	f uː r ə t r ɛ kː ə r 
FOREVIGET	f uː r eː v iː ɡ ə t 
FORFALL	f ɔ r f ɑ l 
FORFALSKNINGER	f ɔ r f ɑ l s k n ɪ ŋ ə r 
FORFALTE	f ɔ r f ɑ l t a 
FORFATNING	f ɔ r f ɑ t n ɪ ŋ 
FORFATTER	f ɔ r f ɑ tː ə r 
FORFATTERE	f ɔ r f ɑ tː eː r a 
FORFATTEREN	f ɔ r f ɑ tː eː r ə n 
FORFATTERENPUNKTUM	f ɔ r f ɑ tː eː r ə n p ʉ ŋ k t ʉː m 
FORFATTERENS	f ɔ r f ɑ tː eː r ə n s 
FORFATTERINNEN	f ɔ r f ɑ tː eː r ɪ n n ə n 
FORFATTERINNENS	f ɔ r f ɑ tː eː r ɪ n n ə n s 
FORFATTERNES	f ɔ r f ɑ tː a r n ə s 
FORFATTERSKAP	f ɔ r f ɑ tː a r ʃ k a p 
FORFATTERSKAPET	f ɔ r f ɑ tː a r ʃ k a p ə t 
FORFERDET	f ɔ r f a r d a 
FORFILMEN	f ɔ r f ɪ l m ə n 
FORFINING	f ɔ r f iː n ɪ ŋ 
FORFORDELE	f ɔ r f ɔ r d eː l a 
FORFROSSEN	f ɔ r f r ɔ s s ə n 
FORFØLGELSE	f ɔ r f œ l ɡ ɛ l s a 
FORGJENGELIG	f ɔ r j ə ŋ eː l ɪ 
FORHALLEN	f ɔ r h ɑ l l ə n 
FORHANDLE	f ɔ r h ɑ n n l a 
FORHANDLER	f ɔ r h ɑ n n l ə r 
FORHANDLES	f ɔ r h ɑ n n l ə s 
FORHANDLINGENE	f ɔ r h ɑ n n l ɪ ŋ ɛ n a 
FORHANDLINGER	f ɔ r h ɑ n n l ɪ ŋ ə r 
FORHANDLINGSBORDET	f ɔ r h ɑ n n l ɪ ŋ s b uː r d a 
FORHANDLINGSSITUASJONEN	f ɔ r h ɑ n n l ɪ ŋ s s iː t ʉː ɑ ʃ uː n ə n 
FORHINDRE	f ɔ r h ɪ n n r a 
FORHOLD	f ɔ r h ɔ l l 
FORHOLDE	f ɔ r h ɔ l l a 
FORHOLDENE	f ɔ r h ɔ l l ɛ n a 
FORHOLDER	f ɔ r h ɔ l l ə r 
FORHOLDET	f ɔ r h ɔ l l ə t 
FORHOLDSREGLER	f ɔ r h ɔ l l s r ɛ ɡ l ə r 
FORHOLDSVIS	f ɔ r h ɔ l l s v iː s 
FORHÅND	f ɔ r h ɔ n n 
FORHÅNDSBESTILLE	f ɔ r h ɔ n n s b ɛ s t ɪ l l a 
FORHÅPENTLIG	f ɔ r h oː p ɛ n t l ɪ 
FORHØR	f ɔ r h øː r 
FORKASTES	f ɔ r k ɑ s t ə s 
FORKJØLELSESVIRUSET	f ɔ r x øː l ɛ l s ə s v iː r ʉː s ə t 
FORKJØRSRETT	f ɔ r x œ r ʃ r ɛ tː 
FORKLARE	f ɔ r k l a r a 
FORKLARER	f ɔ r k l a r ə r 
FORKLARES	f ɔ r k l a r ə s 
FORKLARING	f ɔ r k l a r ɪ ŋ 
FORKLARINGEN	f ɔ r k l a r ɪ ŋ ə n 
FORKLARINGSMODELLER	f ɔ r k l a r ɪ ŋ s m uː d ɛ l l ə r 
FORKLART	f ɔ r k l ɑ r t 
FORKLARTE	f ɔ r k l ɑ r t a 
FORKLEDNINGEN	f ɔ r k l ə d n ɪ ŋ ə n 
FORKLEDNINGER	f ɔ r k l ə d n ɪ ŋ ə r 
FORKYNT	f ɔ r x y n t 
FORLAG	f ɔ r l a ɡ 
FORLAGENE	f ɔ r l a ɡ ɛ n a 
FORLAGET	f ɔ r l a ɡ ə t 
FORLAGETS	f ɔ r l a ɡ ɛ t s 
FORLAGSSTØTTE	f ɔ r l ɑ ɡ s s t œ tː a 
FORLANGE	f ɔ r l ɑ ŋ a 
FORLATE	f ɔ r l a t a 
FORLATER	f ɔ r l a t ə r 
FORLEGGERNE	f ɔ r l ə ɡː a r n a 
FORLENGEDE	f ɔ r l ə ŋ eː d a 
FORLENGER	f ɔ r l ɛ ŋ ə r 
FORLENGET	f ɔ r l ɛ ŋ ə t 
FORLIK	f ɔ r l iː k 
FORLIKSKLAGE	f ɔ r l ɪ k s k l a ɡ a 
FORLIKT	f ɔ r l ɪ k t 
FORLOKKENDE	f ɔ r l ɔ kː ɛ n n a 
FORLOT	f ɔ r l uː t 
FORLØSENDE	f ɔ r l øː s ɛ n n a 
FORLØSEPUNKTUM	f ɔ r l øː s eː p ʉ ŋ k t ʉː m 
FORLØSNING	f ɔ r l œ s n ɪ ŋ 
FORM	f ɔ r m 
FORMALISERE	f ɔ r m a l iː s eː r a 
FORMALISERT	f ɔ r m a l iː s a r t 
FORMANNSKAPET	f ɔ r m ɑ n s k a p ə t 
FORMANNSKAPETS	f ɔ r m ɑ n s k a p ɛ t s 
FORMATERINGEN	f ɔ r m a t eː r ɪ ŋ ə n 
FORME	f ɔ r m a 
FORMELT	f ɔ r m ɛ l t 
FORMEN	f ɔ r m ə n 
FORMER	f ɔ r m ə r 
FORMIDDAG	f ɔ r m ɪ dː a ɡ 
FORMIDDAGENS	f ɔ r m ɪ dː a ɡ ə n s 
FORMIDDAGSTIMER	f ɔ r m ɪ dː ɑ ɡ s t iː m ə r 
FORMIDLE	f ɔ r m ɪ d l a 
FORMIDLERE	f ɔ r m ɪ d l eː r a 
FORMIDLET	f ɔ r m ɪ d l ə t 
FORMIDLING	f ɔ r m ɪ d l ɪ ŋ 
FORMIDLINGEN	f ɔ r m ɪ d l ɪ ŋ ə n 
FORMINGSFAGET	f ɔ r m ɪ ŋ s f a ɡ ə t 
FORMSTIGNING	f ɔ r m s t ɪ ŋ n ɪ ŋ 
FORMUE	f ɔ r m ʉː a 
FORMULERING	f ɔ r m ʉː l eː r ɪ ŋ 
FORMULERINGER	f ɔ r m ʉː l eː r ɪ ŋ ə r 
FORMÅL	f ɔ r m oː l 
FORMÅLET	f ɔ r m oː l ə t 
FORMÅLSLØS	f ɔ r m ɔ l ʃ l øː s 
FORNEDRELSE	f ɔ r n ə d r ɛ l s a 
FORNEMSTE	f ɔ r n ɛ m s t a 
FORNUFT	f ɔ r n ʉ f t 
FORNUFTEN	f ɔ r n ʉ f t ə n 
FORNUFTENS	f ɔ r n ʉ f t ə n s 
FORNUFTIG	f ɔ r n ʉ f t ɪ 
FORNUFTIGE	f ɔ r n ʉ f t iː ɡ a 
FORNYELSE	f ɔ r n yː ɛ l s a 
FORNYET	f ɔ r n yː ə t 
FORNYETE	f ɔ r n yː eː t a 
FORNÆRMELSE	f ɔ r n a r m ɛ l s a 
FORNÆRMET	f ɔ r n a r m ə t 
FORNØYD	f ɔ r n øy d 
FORNØYDE	f ɔ r n øy d a 
FORNØYELIG	f ɔ r n øy eː l ɪ 
FORNØYELIGE	f ɔ r n øy eː l iː ɡ a 
FORNØYELSE	f ɔ r n øy ɛ l s a 
FORORD	f uː r ɔ r 
FORPLIKTELSENE	f ɔ r p l ɪ k t ɛ l s ɛ n a 
FORPLIKTELSER	f ɔ r p l ɪ k t ɛ l s ə r 
FORPLIKTER	f ɔ r p l ɪ k t ə r 
FORRESTEN	f ɔ r r ɛ s t ə n 
FORRETNINGER	f ɔ r r ə t n ɪ ŋ ə r 
FORRETNINGSEKSPERTER	f ɔ r r ə t n ɪ ŋ s ə k s p a r t ə r 
FORRETNINGSFØRER	f ɔ r r ə t n ɪ ŋ s f øː r ə r 
FORRETNINGSLUNSJER	f ɔ r r ə t n ɪ ŋ ʃ l ʉ n ʃ ə r 
FORRETNINGSMANNEN	f ɔ r r ə t n ɪ ŋ s m ɑ n n ə n 
FORRETNINGSVERDEN	f ɔ r r ə t n ɪ ŋ s v a r d ə n 
FORRETNINGSVIRKSOMHET	f ɔ r r ə t n ɪ ŋ s v ɪ r k s ɔ m h ə t 
FORRETTEN	f ɔ r r ɛ tː ə n 
FORRIGE	f ɔ r r iː ɡ a 
FORRINGET	f ɔ r r ɪ ŋ ə t 
FORSALGPUNKTUM	f ɔ r ʃ ɑ l ɡ p ʉ ŋ k t ʉː m 
FORSAMLING	f ɔ r ʃ ɑ m l ɪ ŋ 
FORSAMLINGEN	f ɔ r ʃ ɑ m l ɪ ŋ ə n 
FORSAMLINGER	f ɔ r ʃ ɑ m l ɪ ŋ ə r 
FORSAMLINGSLOKALER	f ɔ r ʃ ɑ m l ɪ ŋ ʃ l uː k a l ə r 
FORSENDELSEN	f ɔ r ʃ ə n n ɛ l s ə n 
FORSERE	f ɔ r ʃ eː r a 
FORSERTE	f ɔ r ʃ a r t a 
FORSIDEN	f ɔ r ʃ iː d ə n 
FORSIKRE	f ɔ r ʃ ɪ k r a 
FORSIKRET	f ɔ r ʃ ɪ k r ə t 
FORSIKRING	f ɔ r ʃ ɪ k r ɪ ŋ 
FORSIKRINGSSELSKAP	f ɔ r ʃ ɪ k r ɪ ŋ s s ə l s k a p 
FORSIKRINGSSELSKAPET	f ɔ r ʃ ɪ k r ɪ ŋ s s ə l s k a p ə t 
FORSIKTIG	f ɔ r ʃ ɪ k t ɪ 
FORSIKTIGE	f ɔ r ʃ ɪ k t iː ɡ a 
FORSINKE	f ɔ r ʃ ɪ ŋ k a 
FORSINKELSER	f ɔ r ʃ ɪ ŋ k ɛ l s ə r 
FORSINKER	f ɔ r ʃ ɪ ŋ k ə r 
FORSINKET	f ɔ r ʃ ɪ ŋ k ə t 
FORSKE	f ɔ r ʃ k a 
FORSKER	f ɔ r ʃ k ə r 
FORSKERE	f ɔ r ʃ k eː r a 
FORSKEREN	f ɔ r ʃ k eː r ə n 
FORSKERENS	f ɔ r ʃ k eː r ə n s 
FORSKERGRUPPEN	f ɔ r ʃ k a r ɡ r ʉ pː ə n 
FORSKERNE	f ɔ r ʃ k a r n a 
FORSKERNEPUNKTUM	f ɔ r ʃ k a r n eː p ʉ ŋ k t ʉː m 
FORSKES	f ɔ r ʃ k ə s 
FORSKET	f ɔ r ʃ k ə t 
FORSKJELLEN	f ɔ r ʃ ɛ l l ə n 
FORSKJELLENE	f ɔ r ʃ ə l l ɛ n a 
FORSKJELLER	f ɔ r ʃ ɛ l l ə r 
FORSKJELLIG	f ɔ r ʃ ə l l ɪ 
FORSKJELLIGE	f ɔ r ʃ ə l l iː ɡ a 
FORSKJØNNENDE	f ɔ r ʃ œ n n ɛ n n a 
FORSKJØVET	f ɔ r ʃ øː v ə t 
FORSKNING	f ɔ r ʃ k n ɪ ŋ 
FORSKNINGEN	f ɔ r ʃ k n ɪ ŋ ə n 
FORSKNINGENS	f ɔ r ʃ k n ɪ ŋ ə n s 
FORSKNINGSFELT	f ɔ r ʃ k n ɪ ŋ s f ɛ l t 
FORSKNINGSINNSATSEN	f ɔ r ʃ k n ɪ ŋ s ɪ n s ɑ t s ə n 
FORSKNINGSMILJØPUNKTUM	f ɔ r ʃ k n ɪ ŋ s m ɪ j øː p ʉ ŋ k t ʉː m 
FORSKNINGSNYHETER	f ɔ r ʃ k n ɪ ŋ s n yː h eː t ə r 
FORSKREKKEDE	f ɔ r ʃ k r ə kː eː d a 
FORSKRIFTEN	f ɔ r ʃ k r ɪ f t ə n 
FORSKRIFTENE	f ɔ r ʃ k r ɪ f t ɛ n a 
FORSKRIFTER	f ɔ r ʃ k r ɪ f t ə r 
FORSKRUDD	f ɔ r ʃ k r ʉ dː 
FORSKRUDDE	f ɔ r ʃ k r ʉ dː a 
FORSKÅNET	f ɔ r ʃ k oː n ə t 
FORSLAG	f ɔ r ʃ l a ɡ 
FORSLAGENE	f ɔ r ʃ l a ɡ ɛ n a 
FORSLAGET	f ɔ r ʃ l a ɡ ə t 
FORSONING	f ɔ r ʃ uː n ɪ ŋ 
FORSPILT	f ɔ r ʃ p ɪ l t 
FORSTADIER	f ɔ r ʃ t a d iː ə r 
FORSTAND	f ɔ r ʃ t ɑ n n 
FORSTANDERINNENE	f ɔ r ʃ t ɑ n n eː r ɪ n n ɛ n a 
FORSTANDPUNKTUM	f ɔ r ʃ t ɑ n n p ʉ ŋ k t ʉː m 
FORSTEDENE	f ɔ r ʃ t eː d ɛ n a 
FORSTERKE	f ɔ r ʃ t a r k a 
FORSTERKES	f ɔ r ʃ t a r k ə s 
FORSTERKET	f ɔ r ʃ t a r k ə t 
FORSTO	f ɔ r ʃ t uː 
FORSTYRRE	f ɔ r ʃ t y r r a 
FORSTYRRER	f ɔ r ʃ t y r r ə r 
FORSTYRRET	f ɔ r ʃ t y r r ə t 
FORSTÅ	f ɔ r ʃ t oː 
FORSTÅELSE	f ɔ r ʃ t oː a l s a 
FORSTÅELSEN	f ɔ r ʃ t oː a l s ə n 
FORSTÅELSESFULL	f ɔ r ʃ t oː a l s ɛ s f ʉ l 
FORSTÅR	f ɔ r ʃ t oː r 
FORSTÅS	f ɔ r ʃ t oː s 
FORSTÅTT	f ɔ r ʃ t ɔ tː 
FORSVANT	f ɔ r ʃ v ɑ n t 
FORSVAR	f ɔ r ʃ v a r 
FORSVARE	f ɔ r ʃ v a r a 
FORSVARER	f ɔ r ʃ v a r ə r 
FORSVARET	f ɔ r ʃ v a r ə t 
FORSVARLIG	f ɔ r ʃ v ɑ r l ɪ 
FORSVARSEVNE	f ɔ r ʃ v ɑ r ʃ ɛ v n a 
FORSVARSSTABEN	f ɔ r ʃ v ɑ r ʃ s t a b ə n 
FORSVART	f ɔ r ʃ v ɑ r t 
FORSVARTE	f ɔ r ʃ v ɑ r t a 
FORSVINNE	f ɔ r ʃ v ɪ n n a 
FORSVUNNET	f ɔ r ʃ v ʉ n n ə t 
FORSYNE	f ɔ r ʃ yː n a 
FORSYNT	f ɔ r ʃ y n t 
FORSÅELSE	f ɔ r ʃ oː a l s a 
FORSÅVIDT	f ɔ r ʃ oː v ɪ d t 
FORSØK	f ɔ r ʃ øː k 
FORSØKE	f ɔ r ʃ øː k a 
FORSØKER	f ɔ r ʃ øː k ə r 
FORSØKT	f ɔ r ʃ œ k t 
FORSØKTE	f ɔ r ʃ œ k t a 
FORSØMMELSER	f ɔ r ʃ œ m m ɛ l s ə r 
FORSØMTE	f ɔ r ʃ œ m t a 
FORSØRGER	f ɔ r ʃ œ r ɡ ə r 
FORT	f ʊ r t 
FORTALT	f ʊ r t ɑ l t 
FORTAPTE	f ʊ r t ɑ p t a 
FORTAU	f ʊ r t aʊ 
FORTAUET	f ʊ r t aʊ ə t 
FORTELLE	f ʊ r t ɛ l l a 
FORTELLER	f ʊ r t ɛ l l ə r 
FORTELLEREN	f ʊ r t ə l l eː r ə n 
FORTELLERKUNST	f ʊ r t ə l l a r k ʉ n s t 
FORTELLERPOSISJON	f ʊ r t ə l l a r p uː s ɪ ʃ uː n 
FORTELLING	f ʊ r t ə l l ɪ ŋ 
FORTELLINGER	f ʊ r t ə l l ɪ ŋ ə r 
FORTELLINGSKUNST	f ʊ r t ə l l ɪ ŋ s k ʉ n s t 
FORTENNER	f ʊ r t ɛ n n ə r 
FORTERE	f ʊ r t eː r a 
FORTETNING	f ʊ r t ə t n ɪ ŋ 
FORTGANG	f ʊ r t ɡ ɑ ŋ 
FORTIDENS	f ʊ r t iː d ə n s 
FORTJENER	f ʊ r ʂ eː n ə r 
FORTLØPENDE	f ʊ r t l øː p ɛ n n a 
FORTOLKE	f ʊ r t ɔ l k a 
FORTOLKNINGEN	f ʊ r t ɔ l k n ɪ ŋ ə n 
FORTREDELIGHET	f ʊ r t r eː d eː l ɪ ɡ h ə t 
FORTRENGER	f ʊ r t r ɛ ŋ ə r 
FORTRENGES	f ʊ r t r ɛ ŋ ə s 
FORTRENGTE	f ʊ r t r ɛ ŋ t a 
FORTROLIG	f ʊ r t r uː l ɪ 
FORTROLIGE	f ʊ r t r uː l iː ɡ a 
FORTRYLLELSEKOMMA	f ʊ r t r y l l ɛ l s eː k ɔ m m ɑ 
FORTSATT	f ʊ r t s ɑ tː 
FORTSATTE	f ʊ r t s ɑ tː a 
FORTSETT	f ʊ r t s ɛ tː 
FORTSETTE	f ʊ r t s ɛ tː a 
FORTSETTELSE	f ʊ r t s ə tː ɛ l s a 
FORTSETTER	f ʊ r t s ɛ tː ə r 
FORTVILELSE	f ʊ r t v iː l ɛ l s a 
FORTVILELSEN	f ʊ r t v iː l ɛ l s ə n 
FORTVILET	f ʊ r t v iː l ə t 
FORUMET	f uː r ʉː m ə t 
FORUNDRER	f uː r ʉ n n r ə r 
FORUNDRET	f uː r ʉ n n r ə t 
FORURENSENDE	f uː r ʉː r ɛ n s ɛ n n a 
FORURENSET	f uː r ʉː r ɛ n s ə t 
FORURENSNING	f uː r ʉː r ɛ n s n ɪ ŋ 
FORURENSNINGEN	f uː r ʉː r ɛ n s n ɪ ŋ ə n 
FORURENSNINGSBILDE	f uː r ʉː r ɛ n s n ɪ ŋ s b ɪ l l a 
FORURENSNINGSFARE	f uː r ʉː r ɛ n s n ɪ ŋ s f a r a 
FORUT	f uː r ʉː t 
FORUTEN	f uː r ʉː t ə n 
FORUTSETNING	f uː r ʉ t s ɛ t n ɪ ŋ 
FORUTSETNINGEN	f uː r ʉ t s ɛ t n ɪ ŋ ə n 
FORUTSETNINGER	f uː r ʉ t s ɛ t n ɪ ŋ ə r 
FORUTSETTER	f uː r ʉ t s ɛ tː ə r 
FORUTSETTES	f uː r ʉ t s ɛ tː ə s 
FORVALTET	f ɔ r v ɑ l t ə t 
FORVALTNING	f ɔ r v ɑ l t n ɪ ŋ 
FORVALTNINGEN	f ɔ r v ɑ l t n ɪ ŋ ə n 
FORVALTNINGENS	f ɔ r v ɑ l t n ɪ ŋ ə n s 
FORVALTNINGSLOVENE	f ɔ r v ɑ l t n ɪ ŋ ʃ l uː v ɛ n a 
FORVANDLER	f ɔ r v ɑ n n l ə r 
FORVANSKER	f ɔ r v ɑ n s k ə r 
FORVARSEL	f ɔ r v ɑ r ʃ ə l 
FORVEKSLING	f ɔ r v ə k ʃ l ɪ ŋ 
FORVENTE	f ɔ r v ɛ n t a 
FORVENTER	f ɔ r v ɛ n t ə r 
FORVENTES	f ɔ r v ɛ n t ə s 
FORVENTET	f ɔ r v ɛ n t ə t 
FORVENTNINGEN	f ɔ r v ə n t n ɪ ŋ ə n 
FORVENTNINGENE	f ɔ r v ə n t n ɪ ŋ ɛ n a 
FORVENTNINGER	f ɔ r v ə n t n ɪ ŋ ə r 
FORVENTNINGSAVKLARING	f ɔ r v ə n t n ɪ ŋ s ɑ v k l a r ɪ ŋ 
FORVENTNINGSFULLT	f ɔ r v ə n t n ɪ ŋ s f ʉ l t 
FORVIKLINGER	f ɔ r v ɪ k l ɪ ŋ ə r 
FORVIRREDE	f ɔ r v ɪ r r eː d a 
FORVIRRES	f ɔ r v ɪ r r ə s 
FORVIRRET	f ɔ r v ɪ r r ə t 
FORVIRRINGEN	f ɔ r v ɪ r r ɪ ŋ ə n 
FORVIST	f ɔ r v ɪ s t 
FORVITRER	f ɔ r v ɪ t r ə r 
FORÅNDSAVTALE	f uː r ɔ n n s ɑ v t a l a 
FORÅRSAKE	f uː r ɔ r ʃ a k a 
FORØVRIG	f uː r œ v r ɪ 
FOSNES	f ɔ s n ə s 
FOSSEKALLEN	f ɔ s s eː k ɑ l l ə n 
FOSSEN	f ɔ s s ə n 
FOSSILERKOMMA	f ɔ s s iː l a r k ɔ m m ɑ 
FOSTERDATTER	f ʊ s t a r d ɑ tː ə r 
FOTBALL	f ɔ t b ɑ l 
FOTBALLEN	f ɔ t b ɑ l l ə n 
FOTBALLKLUBB	f ɔ t b ɑ l k l ʉ bː 
FOTBALLMESSIG	f ɔ t b ɑ l m ɛ s s ɪ 
FOTBALLSPILLERE	f ɔ t b ɑ l s p ɪ l l eː r a 
FOTEN	f uː t ə n 
FOTFESTE	f ɔ t f ɛ s t a 
FOTFØLGES	f ɔ t f œ l ɡ ə s 
FOTNOTER	f ɔ t n uː t ə r 
FOTOGRAFEN	f uː t ɔ ɡ r a f ə n 
FOTOGRAFERES	f uː t ɔ ɡ r a f eː r ə s 
FOTOGRAFIER	f uː t ɔ ɡ r a f iː ə r 
FOTOGRAFISK	f uː t ɔ ɡ r a f ɪ s k 
FOTSPOR	f ɔ t s p uː r 
FRA	f r ɑ 
FRAFLYTTINGSKOMMUNER	f r ɑ f l y tː ɪ ŋ s k ɔ m m ʉː n ə r 
FRAGMENTERT	f r ɑ ɡ m ə n t a r t 
FRAM	f r a m 
FRAMFOR	f r ɑ m f uː r 
FRAMKALT	f r ɑ m k ɑ l t 
FRAMOVER	f r a m uː v ə r 
FRAMSKRITT	f r ɑ m s k r ɪ tː 
FRAMSTILLINGEN	f r ɑ m s t ɪ l l ɪ ŋ ə n 
FRAMSTÅ	f r ɑ m s t oː 
FRAMSTÅR	f r ɑ m s t oː r 
FRAMVEKSTEN	f r ɑ m v ɛ k s t ə n 
FRANK	f r ɑ ŋ k 
FRANSK	f r ɑ n s k 
FRANSKE	f r ɑ n s k a 
FRANTZEN	f r ɑ n t s ə n 
FRARÅDET	f r a r oː d a 
FRASPARK	f r ɑ s p ɑ r k 
FRATATT	f r a t ɑ tː 
FRAVÆR	f r a v aː r 
FRAVÆRET	f r a v aː r ə t 
FRAVÆRSGRUNN	f r a v a r ʃ ɡ r ʉ n 
FRED	f r eː d 
FREDAG	f r eː d a ɡ 
FREDAGSKVELDEN	f r eː d ɑ ɡ s k v ɛ l l ə n 
FREDDY	f r ɛ dː yː 
FREDELIG	f r eː d eː l ɪ 
FREDELIGE	f r eː d eː l iː ɡ a 
FREDEN	f r eː d ə n 
FREDHEIM	f r ɛ d h aɪ m 
FREDSARBEID	f r ɛ d s ɑ r b aɪ d 
FREDSLØSNING	f r ɛ d ʃ l œ s n ɪ ŋ 
FREDSRELEVANTE	f r ɛ d s r eː l eː v ɑ n t a 
FREELANCERE	f r eː eː l ɑ n k eː r a 
FREGATTER	f r eː ɡ ɑ tː ə r 
FREKKE	f r ɛ kː a 
FRELSERS	f r ɛ l s a ʃ 
FREM	f r ɛ m 
FREMBRINGE	f r ɛ m b r ɪ ŋ a 
FREMDELES	f r ɛ m d eː l ə s 
FREMDRIFT	f r ɛ m d r ɪ f t 
FREMFERD	f r ɛ m f a r 
FREMFOR	f r ɛ m f uː r 
FREMFØRT	f r ɛ m f œ r t 
FREMGANG	f r ɛ m ɡ ɑ ŋ 
FREMGANGSMÅTE	f r ɛ m ɡ ɑ ŋ s m oː t a 
FREMGÅR	f r ɛ m ɡ oː r 
FREMHEVES	f r ɛ m h eː v ə s 
FREMHOLDER	f r ɛ m h ɔ l l ə r 
FREMHOLDES	f r ɛ m h ɔ l l ə s 
FREMKOMMELIGHET	f r ɛ m k ɔ m m eː l ɪ ɡ h ə t 
FREMKOMMER	f r ɛ m k ɔ m m ə r 
FREMKOMMET	f r ɛ m k ɔ m m ə t 
FREMKOMSTMIDLER	f r ɛ m k ɔ m s t m ɪ d l ə r 
FREMLEGGE	f r ɛ m l ɛ ɡː a 
FREMME	f r ɛ m m a 
FREMMED	f r ɛ m m ə d 
FREMMEDE	f r ɛ m m eː d a 
FREMMEDGJORT	f r ɛ m m ə d j ʊ r t 
FREMOVER	f r eː m uː v ə r 
FREMRAGENDE	f r ɛ m r a ɡ ɛ n n a 
FREMSKRITT	f r ɛ m s k r ɪ tː 
FREMST	f r ɛ m s t 
FREMSTE	f r ɛ m s t a 
FREMSTILLE	f r ɛ m s t ɪ l l a 
FREMSTILLES	f r ɛ m s t ɪ l l ə s 
FREMSTILT	f r ɛ m s t ɪ l t 
FREMSTO	f r ɛ m s t uː 
FREMSTÅR	f r ɛ m s t oː r 
FREMSTÅTT	f r ɛ m s t ɔ tː 
FREMSTØTET	f r ɛ m s t øː t ə t 
FREMTIDEN	f r ɛ m t iː d ə n 
FREMTIDIG	f r ɛ m t iː d ɪ 
FREMTIDIGE	f r ɛ m t iː d iː ɡ a 
FREMTREDENDE	f r ɛ m t r eː d ɛ n n a 
FREMTRER	f r ɛ m t r ə r 
FREMTVINGER	f r ɛ m t v ɪ ŋ ə r 
FREMVEKSTEN	f r ɛ m v ɛ k s t ə n 
FREMVISER	f r ɛ m v iː s ə r 
FRES	f r eː s 
FRESK	f r ɛ s k 
FRESVIK	f r ɛ s v iː k 
FRI	f r iː 
FRIBREV	f r ɪ b r ə v 
FRIBRYTING	f r ɪ b r yː t ɪ ŋ 
FRIDA	f r iː d ɑ 
FRIDAG	f r iː d a ɡ 
FRIGJØRE	f r ɪ j øː r a 
FRIGJØRES	f r ɪ j øː r ə s 
FRIGJØRINGSTYRKENE	f r ɪ j øː r ɪ ŋ s t y r k ɛ n a 
FRIHET	f r iː h ə t 
FRIHETEN	f r iː h eː t ə n 
FRIHETSBEHOV	f r iː h ə t s b eː h uː v 
FRIIDRETTEN	f r iː ɪ d r ɛ tː ə n 
FRIIDRETTSUTØVER	f r iː ɪ d r ɛ tː s ʉː t øː v ə r 
FRIKOBLET	f r iː k ɔ b l ə t 
FRIKVARTERENE	f r ɪ k v ɑ r t eː r ɛ n a 
FRILUFTSGUDSTJENESTEN	f r iː l ʉ f t s ɡ ʉ d s ʂ eː n ɛ s t ə n 
FRILUFTSLIV	f r iː l ʉ f t ʃ l iː v 
FRIMERKEHANDELEN	f r iː m a r k eː h ɑ n n eː l ə n 
FRIMERKER	f r iː m a r k ə r 
FRIMURERNES	f r iː m ʉː r a r n ə s 
FRISK	f r ɪ s k 
FRISKE	f r ɪ s k a 
